source,fruit_id,complete_volume_ml,mesh_volume_ml,volume_head_ml,latent_norm,pc1_within_source,pc2_within_source
encoder_pred_test,00006,19.707299,19.722006,20.755304,3.6554718,0.004215384,-0.14279492
encoder_pred_test,00025,16.165891,17.862996,13.672666,3.2733727,-0.4183818,-0.10595862
encoder_pred_test,00027,16.165891,17.894747,16.734554,3.5728104,-0.38005918,-0.15781114
encoder_pred_test,00030,18.587113,20.614791,15.204115,3.3343685,-0.23340455,-0.1524935
encoder_pred_test,00032,18.587113,18.800246,18.434677,3.6095903,-0.21605472,-0.08950779
encoder_pred_test,00044,18.587113,20.383546,16.387135,3.4341686,-0.18532255,-0.10020505
encoder_pred_test,00046,17.675679,21.321542,17.498899,3.653319,0.10309771,0.4488871
encoder_pred_test,00071,19.241479,20.921561,17.062744,3.6393871,0.057033036,0.4262315
encoder_pred_test,00080,18.641905,20.555391,16.980747,3.3742936,-0.17796077,-0.26020896
encoder_pred_test,00081,18.641905,19.372853,18.87841,3.537965,-0.1979531,-0.054040436
encoder_pred_test,00089,18.641905,20.723698,15.688334,3.337705,-0.13525318,0.13546473
encoder_pred_test,00094,19.50311,17.307229,17.755022,3.486523,-0.2511261,-0.14697674
encoder_pred_test,00095,19.50311,19.383535,19.581886,3.5671995,-0.22132702,-0.12672392
encoder_pred_test,00099,19.50311,20.053376,18.629473,3.5991602,-0.23186198,-0.1434876
encoder_pred_test,00103,19.50311,18.991797,18.223494,3.526656,-0.06974229,0.061167277
encoder_pred_test,00104,19.50311,18.537659,18.54793,3.547764,-0.28918043,-0.12915474
encoder_pred_test,00114,19.746473,19.176455,20.382355,3.6666765,-0.07917717,-0.13235131
encoder_pred_test,00127,24.051658,21.614747,24.157661,3.6388931,0.44117075,-0.14662592
encoder_pred_test,00142,19.369625,20.019175,17.995609,3.581917,-0.18058261,-0.10817911
encoder_pred_test,00159,19.140148,19.62376,19.178581,3.6686292,-0.19454198,-0.022480756
encoder_pred_test,00163,19.140148,20.017168,16.946449,3.4899037,-0.2108924,0.036919232
encoder_pred_test,00166,15.862979,20.117839,14.873715,3.4185972,-0.37770507,0.10293631
encoder_pred_test,00196,13.707811,17.515497,14.144722,3.6513662,-0.40450597,0.22837484
encoder_pred_test,00203,13.707811,20.050425,12.65372,3.443797,-0.4068473,0.13646175
encoder_pred_test,00220,19.049655,21.315594,16.154097,3.380376,-0.1220587,-0.018841416
encoder_pred_test,00223,19.049655,19.437158,17.999411,3.5905883,-0.23738497,-0.03339418
encoder_pred_test,00225,21.322582,19.375181,21.428709,3.7038963,0.05359864,-0.15203953
encoder_pred_test,00228,21.322582,19.324778,20.399164,3.569116,0.074279696,-0.19447428
encoder_pred_test,00233,21.322582,19.697705,23.484079,3.7523305,0.08371128,-0.13134778
encoder_pred_test,00238,21.322582,20.651479,21.279001,3.576262,0.07794479,-0.028023362
encoder_pred_test,00250,17.449775,20.613404,16.387859,3.3835788,-0.062512636,-0.17246453
encoder_pred_test,00270,20.16988,20.243463,19.136078,3.585997,0.29363263,0.2940742
encoder_pred_test,00281,20.16988,21.554861,18.062433,3.5813212,0.26349935,0.42248476
encoder_pred_test,00284,20.16988,20.211443,17.22953,3.5557492,0.19844283,0.4235274
encoder_pred_test,00296,20.16988,19.54918,20.202789,3.714087,0.27649665,0.43175784
encoder_pred_test,00300,15.217761,18.110688,15.691963,3.630656,-0.2693812,0.21105716
encoder_pred_test,00344,19.583959,19.399126,20.432112,3.6397445,-0.035409756,-0.06317319
encoder_pred_test,00348,15.757421,18.851172,14.986086,3.644114,-0.15026562,0.3925181
encoder_pred_test,00352,15.757421,18.561082,14.321848,3.4964468,-0.1281979,0.21265055
encoder_pred_test,00367,22.747821,19.229821,22.104618,3.5623758,0.27867728,-0.34693122
encoder_pred_test,00370,22.747821,21.193466,21.058491,3.5519364,0.2962079,-0.40724796
encoder_pred_test,00373,22.747821,18.553278,21.732216,3.6484075,0.30685028,-0.48008892
encoder_pred_test,00379,23.799649,22.499719,21.122049,3.6112244,0.2210828,0.09823374
encoder_pred_test,00387,23.799649,21.77514,22.056396,3.6071033,0.47262073,0.047323246
encoder_pred_test,00389,23.799649,22.102792,19.642836,3.439431,0.20393807,-0.002381608
encoder_pred_test,00429,15.053264,17.593292,15.26127,3.6840894,-0.47316837,0.22567534
encoder_pred_test,00432,15.053264,19.78364,14.829321,3.444794,-0.45458242,-0.0139215365
encoder_pred_test,00459,27.90925,22.165155,27.024052,3.8462472,0.63056463,0.22445168
encoder_pred_test,00464,27.90925,23.154154,28.442492,3.8820188,0.7401011,0.23414725
encoder_pred_test,00470,27.777835,22.120349,25.93593,3.7568781,0.59876275,0.0789477
encoder_pred_test,00517,23.533698,21.124854,25.494907,3.8425305,0.556233,0.33250377
encoder_pred_test,00549,17.393425,18.786524,16.546459,3.5059686,-0.33845,-0.15699585
encoder_pred_test,00558,25.928771,20.75951,25.141443,3.6737425,0.22464004,-0.27418113
encoder_pred_test,00565,25.928771,21.930484,27.64189,3.733184,0.2914122,-0.27102464
encoder_pred_test,00574,17.236678,19.166113,17.850895,3.658412,0.13310654,0.32789707
encoder_pred_test,00591,22.229742,22.021181,21.130833,3.5992906,0.10378644,-0.41897827
encoder_pred_test,00603,30.359418,22.052832,30.984325,3.8564296,0.8291496,-0.009462327
encoder_pred_test,00604,30.359418,21.941627,25.488995,3.6590168,0.73749423,0.07277583
encoder_pred_test,00616,21.345432,20.144442,19.558136,3.4982567,0.09755542,-0.4713308
encoder_pred_test,00618,21.345432,21.413098,19.23329,3.3806858,0.091983095,-0.23597088
encoder_pred_test,00636,15.922018,17.17147,16.152668,3.6010535,-0.35501423,0.07226604
encoder_pred_test,00642,15.922018,20.040213,13.801699,3.3458898,-0.17592144,0.22340089
encoder_pred_test,00647,13.930117,18.010367,13.456019,3.6117916,-0.47904515,0.18771714
encoder_pred_test,00654,13.930117,19.364214,12.992723,3.4921417,-0.41221234,0.19144815
encoder_pred_test,00658,13.930117,17.523924,13.45725,3.6505046,-0.4253567,0.3747728
encoder_pred_test,00663,19.120373,20.489252,17.838837,3.5405746,0.05461199,-0.23911086
encoder_pred_test,00666,19.120373,19.822172,17.770832,3.5866513,0.086155534,-0.18879068
encoder_pred_test,00667,19.120373,19.694816,19.571507,3.6390002,0.09877521,-0.3268987
complete_optimized_val,00003,19.707299,19.74234577000704,nan,1.3532134,-0.14281061,-0.28333253
complete_optimized_val,00011,19.707299,19.661058385528595,nan,1.3436784,-0.058900207,-0.15476516
complete_optimized_val,00048,17.675679,17.709066535384636,nan,1.4753903,-0.07767193,0.47659922
complete_optimized_val,00057,17.675679,17.60765031724528,nan,1.458537,-0.09244074,0.44229755
complete_optimized_val,00065,19.241479,19.80729223342988,nan,1.4197767,0.2851298,0.36998978
complete_optimized_val,00067,19.241479,19.75414298211611,nan,1.4246534,0.28202033,0.37844363
complete_optimized_val,00073,19.241479,19.79960848715183,nan,1.4159425,0.24426457,0.3885877
complete_optimized_val,00093,19.50311,19.663883506555273,nan,1.2347881,0.054470256,-0.13418607
complete_optimized_val,00112,19.746473,19.632493206461593,nan,1.4199231,0.1487394,-0.19589049
complete_optimized_val,00117,19.746473,19.63802782739614,nan,1.4256055,0.14159544,-0.2039248
complete_optimized_val,00141,19.369625,19.236144721289744,nan,1.4679737,-0.04739986,0.012588903
complete_optimized_val,00146,19.369625,19.235024531616563,nan,1.4831724,-0.045353632,0.007510707
complete_optimized_val,00156,19.140148,18.738046343317,nan,1.3741959,0.1588996,0.2328071
complete_optimized_val,00161,19.140148,18.72109388478411,nan,1.3787758,0.14662188,0.25261742
complete_optimized_val,00167,15.862979,15.969295672755512,nan,1.6668243,0.9667993,-0.31119466
complete_optimized_val,00175,15.862979,15.959941235075704,nan,1.690538,0.9880866,-0.32446438
complete_optimized_val,00214,19.049655,19.047235833024857,nan,1.4118763,-0.390081,-0.07020997
complete_optimized_val,00216,19.049655,18.99013212381334,nan,1.4260577,-0.36260656,-0.049255475
complete_optimized_val,00217,19.049655,19.04364851189805,nan,1.4185569,-0.34828013,-0.033727244
complete_optimized_val,00224,19.049655,19.051404409175866,nan,1.4102832,-0.37853733,-0.03353254
complete_optimized_val,00234,21.322582,20.671282136175595,nan,1.5847069,-0.9349127,0.19367371
complete_optimized_val,00252,17.449775,17.035352031332575,nan,1.535208,0.19507328,-0.09993157
