fruit_id, frame_id, complete_volume_ml, mesh_volume_ml, volume_mae_ml, volume_rmse_ml, volume_mape_percent, volume_r2, chamfer_distance, precision, recall, f1 , precision_paper_5mm, recall_paper_5mm, f1_paper_5mm, precision_t0p005, recall_t0p005, f1_t0p005, precision_t0p01, recall_t0p01, f1_t0p01, precision_t0p02, recall_t0p02, f1_t0p02, precision_t0p03, recall_t0p03, f1_t0p03, precision_t0p05, recall_t0p05, f1_t0p05
00036   , 00036   , 19.50311          , 23.415274     ,              ,               ,                    ,          , 0.063529        , 0.1      , 6.2   , 0.2, 100.0              , 99.2            , 99.6        , 0.1             , 6.2          , 0.2      , 0.9            , 13.1        , 1.7     , 5.9            , 22.9        , 9.4     , 15.7           , 33.0        , 21.3    , 38.9           , 50.4        , 43.9    
00037   , 00037   , 19.50311          , 24.173563     ,              ,               ,                    ,          , 0.068165        , 0.1      , 5.8   , 0.2, 100.0              , 99.8            , 99.9        , 0.1             , 5.8          , 0.2      , 0.8            , 11.7        , 1.5     , 5.4            , 20.5        , 8.5     , 14.1           , 29.6        , 19.1    , 35.1           , 45.9        , 39.8    
00038   , 00038   , 19.50311          , 23.744597     ,              ,               ,                    ,          , 0.065184        , 0.1      , 5.3   , 0.2, 100.0              , 99.5            , 99.7        , 0.1             , 5.3          , 0.2      , 0.8            , 11.4        , 1.5     , 5.5            , 20.9        , 8.7     , 14.8           , 31.6        , 20.1    , 37.6           , 49.2        , 42.6    
00039   , 00039   , 19.50311          , 23.205303     ,              ,               ,                    ,          , 0.062752        , 0.1      , 6.3   , 0.2, 100.0              , 99.2            , 99.6        , 0.1             , 6.3          , 0.2      , 0.9            , 12.4        , 1.6     , 6.1            , 23.6        , 9.7     , 16.5           , 33.4        , 22.1    , 39.6           , 50.9        , 44.5    
00040   , 00040   , 19.50311          , 25.281713     ,              ,               ,                    ,          , 0.072634        , 0.1      , 3.6   , 0.1, 100.0              , 100.0           , 100.0       , 0.1             , 3.6          , 0.1      , 0.5            , 8.0         , 1.0     , 4.2            , 18.6        , 6.9     , 12.0           , 27.0        , 16.6    , 30.8           , 42.5        , 35.7    
00041   , 00041   , 19.50311          , 23.490642     ,              ,               ,                    ,          , 0.064261        , 0.1      , 6.4   , 0.2, 100.0              , 99.1            , 99.5        , 0.1             , 6.4          , 0.2      , 0.9            , 12.9        , 1.6     , 5.9            , 22.2        , 9.3     , 15.4           , 32.2        , 20.8    , 38.3           , 51.0        , 43.8    
00042   , 00042   , 19.746473         , 21.19804      ,              ,               ,                    ,          , 0.059494        , 0.2      , 8.8   , 0.3, 100.0              , 100.0           , 100.0       , 0.2             , 8.8          , 0.3      , 1.1            , 15.8        , 2.1     , 7.6            , 28.6        , 11.9    , 18.9           , 35.6        , 24.7    , 42.7           , 51.8        , 46.8    
00043   , 00043   , 19.746473         , 21.524488     ,              ,               ,                    ,          , 0.060873        , 0.1      , 7.8   , 0.3, 100.0              , 100.0           , 100.0       , 0.1             , 7.8          , 0.3      , 0.9            , 13.8        , 1.8     , 6.8            , 26.6        , 10.8    , 18.3           , 36.0        , 24.3    , 42.1           , 51.1        , 46.1    
00044   , 00044   , 19.746473         , 21.034912     ,              ,               ,                    ,          , 0.060439        , 0.1      , 7.4   , 0.3, 100.0              , 100.0           , 100.0       , 0.1             , 7.4          , 0.3      , 1.0            , 14.9        , 1.9     , 7.0            , 27.2        , 11.2    , 18.1           , 35.2        , 23.9    , 42.2           , 49.9        , 45.7    
00045   , 00045   , 19.746473         , 22.50871      ,              ,               ,                    ,          , 0.064581        , 0.1      , 5.2   , 0.2, 100.0              , 100.0           , 100.0       , 0.1             , 5.2          , 0.2      , 0.7            , 10.9        , 1.4     , 5.1            , 20.7        , 8.1     , 14.5           , 30.7        , 19.7    , 39.4           , 49.3        , 43.8    
00046   , 00046   , 19.746473         , 21.375015     ,              ,               ,                    ,          , 0.061193        , 0.2      , 8.6   , 0.3, 100.0              , 100.0           , 100.0       , 0.2             , 8.6          , 0.3      , 1.1            , 15.5        , 2.0     , 7.1            , 27.3        , 11.2    , 18.2           , 35.8        , 24.1    , 41.6           , 50.6        , 45.6    
